trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",25,0,-27.881090406924216,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",20,6,-20.97673017463425,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",30,20,16.13202809577151,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.2893842179390506}",20,12,-5.142942902466462,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.8824969025845955, 'e': 0.2865047968601901}",25,9,-8.74706130631178,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",25,8,17.81257613857243,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",25,11,10.918643689499056,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",20,13,-20.346884205941322,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",20,12,12.562562370253515,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",35,0,-43.3893840938561,"{0: 30, 1: 1, 2: 2, 3: 1, 4: 1}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.2698200563846868}",20,0,21.22683551315704,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.8763409950793732, 'e': 0.26713530196585034}",25,11,14.77102890468429,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",20,12,7.027925675955487,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",25,0,6.963299290752017,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",25,11,-37.873771545376236,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",20,2,8.918817864140433,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",25,11,-10.294743407630428,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.8710986917457983, 'e': 0.25157855305975646}",25,14,16.71019265789289,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8702280284582515, 'e': 0.24907530463166816}",30,17,-20.960287920366362,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160643}",20,2,9.004573037870138,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",30,16,28.32567027221224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703645}",25,5,-43.04208532873693,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
143,False,"{'a': 0.8667540688954889, 'e': 0.23930892224375455}",20,1,0.9795775931471027,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.865887748059205, 'e': 0.23692775868212176}",25,12,17.540419490293143,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379765}",25,13,8.429663169768652,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975883}",30,12,-26.461273986837817,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 0}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672384}",20,13,13.506785131735885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
